(c) Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bundestagswahl 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amtliches Endergebnis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wählende;;;;Ungültige Stimmen;;;;Gültige Stimmen;;;;Sozialdemokratische Partei Deutschlands;;;;Christlich Demokratische Union Deutschlands;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Christlich-Soziale Union in Bayern e.V.;;;;Die Linke;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Basisdemokratische Partei Deutschland;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Die Gerechtigkeitspartei – Team Todenhöfer;;;;Piratenpartei Deutschland;;;;Volt Deutschland;;;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;;;Südschleswigscher Wählerverband;;;;Partei für Verjüngungsforschung;;;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;;;Bündnis C - Christen für Deutschland;;;;Bayernpartei;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Menschliche Welt - für das Wohl und Glücklichsein aller;;;;Partei des Fortschritts;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;Bürgerrechtsbewegung Solidarität;;;;BÜNDNIS DEUTSCHLAND;;;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;;;WerteUnion;;;;Übrige;;;
234;Weiden;909;162689;165807;162689;165807;136787;132247;136787;132247;641;823;424;891;136146;131424;136363;131356;16294;29573;15930;29461;;;;;6624;6633;7927;9170;4126;6303;4171;9601;31352;13523;33125;14898;59268;50575;55094;46451;5591;2315;5367;2830;9673;9306;8212;12067;;;900;1249;;1458;451;1574;;;345;651;;;;192;;;;345;;;409;148;787;860;419;612;;;;;;;;151;;;61;87;;;;70;;771;310;719;;;21;6;;;;;;;;;;;;;;;;;;;95;;;;3526;;;;;;;;;;2431;10107;;1074
235;Bamberg;909;181281;182586;181281;182586;155529;148660;155529;148660;661;865;471;592;154868;147795;155058;148068;22569;28123;17553;25698;;;;;20762;22728;19476;21898;4709;9821;6095;14336;28891;13279;29980;14284;61044;54726;57362;49463;7914;3625;10111;4676;6174;8708;5463;9184;;;1167;1499;;2361;500;2093;;1627;560;1111;;;;319;;;;514;1797;726;1308;575;1008;1287;460;742;;;;;;;;211;;;120;173;;;;105;;491;171;381;;179;49;50;;;;;;;;;;;;;;;;;;;117;;;;4566;;;;;;;;;;;114;;756
236;Bayreuth;909;159361;162430;159361;162430;134067;129136;134067;129136;602;806;385;606;133465;128330;133682;128530;19031;24840;16403;26584;;;;;10999;14064;13155;15647;3680;9182;4987;12020;25144;10777;26687;11636;59366;54465;51466;43768;6117;2577;7605;3294;6741;7754;5968;8857;;;1043;1306;990;2028;464;1642;;1709;442;988;;;;241;;;;368;1397;;849;321;;934;314;516;;;;;;;;166;;;95;131;;;;142;;;110;269;;;23;13;;;;;;;;;;;;;;;;;;;90;;;;3981;;;;;;;;;;;0;;621
237;Coburg;909;153429;156571;153429;156571;128769;123864;128769;123864;592;921;466;704;128177;122943;128303;123160;18425;32056;18401;31087;;;;;10943;10581;9603;11459;2490;6369;4134;10683;26822;11878;28511;12836;53725;44890;47710;39343;5019;2337;6966;3118;6944;9235;5072;7524;;;1187;1509;;2002;382;1869;;1872;489;1144;;;;256;;;;343;;;703;162;963;1418;450;673;;;;;;;;167;;;103;122;;;;109;;222;120;188;;83;33;43;;;;;;;;;;;;;;;;;;;107;;2846;;4332;;;;;;;;;;;0;;525
238;Hof;909;157915;162872;157915;162872;129424;125334;129424;125334;762;879;422;775;128662;124455;129002;124559;22966;29763;17421;30426;;;;;6391;7941;7802;9628;3160;6493;4031;10552;30614;14705;31308;14560;51926;51312;48966;41308;5789;2651;6857;3004;6181;7202;4773;7955;;;1176;1780;;1498;367;1339;;1969;443;1268;;;;399;;;;374;997;;549;115;;508;236;318;;;;;;;;164;;;81;106;;314;;255;;;130;295;;;21;16;;;;;;;;;;;;;;;;;638;;201;;;;4640;;;;;;;;;;;99;;697
239;Kulmbach;909;165464;168923;165464;168923;141525;137178;141525;137178;760;781;450;671;140765;136397;141075;136507;13210;22103;15327;27009;;;;;9233;10165;10176;11966;2838;6480;4550;11399;30698;14416;32989;15774;69446;65163;56800;49389;5361;2448;6209;2982;8742;10430;7185;10420;;;1133;1548;;1748;440;1718;;1954;539;1199;;;;214;;;;429;1237;;720;207;;871;424;605;;;;;;;;203;;;66;82;;;;126;;619;172;446;;;23;27;;;;;;;;;;;;;;;;;;;127;;;;4195;;;;;;;;;;;0;;764
240;Ansbach;909;241618;243174;241618;243174;203824;192508;203824;192508;1008;1514;636;1022;202816;190994;203188;191486;26718;33819;24616;37642;;;;;18248;21343;19216;22325;5276;13016;6785;16213;43100;18418;43752;19142;84723;73312;75749;63299;9434;3798;10145;4904;10960;16592;9499;14738;;;1679;2218;;5167;801;4052;;;716;1312;;;;408;;2180;;1048;2106;;1140;249;2251;2902;1089;1518;;;;;;;;261;;;122;145;;;;279;;;255;523;;;34;24;;;;;;;;;;;;;;;;;;;188;;;;7402;;;;;;;;;;;447;;1186
241;Erlangen;909;186938;187299;186938;187299;162264;155377;162264;155377;844;946;461;669;161420;154431;161803;154708;28003;32036;22446;30146;;;;;29337;29923;29142;31222;4761;10382;6891;16062;22637;10669;23504;10872;57971;54223;54594;44664;9115;;11552;5817;7023;7888;4129;7081;;;1161;1370;;2619;492;2084;;2578;704;1210;;;;496;;1259;;676;2573;;1380;529;;2080;556;1077;;;;;;;;153;;;170;220;;;;120;;;137;202;;188;50;31;;;;;;;;;;;;;;;;;;;99;;;;4796;;;;;;;;;;;586;;676
242;Fürth;909;248612;250730;248612;250730;208200;197939;208200;197939;1067;1438;706;996;207133;196501;207494;196943;36983;47153;29396;42329;;;;;22502;27111;25804;29778;6095;12883;8087;18765;38344;16858;39100;17692;77512;65876;71313;58976;12638;6221;14099;6946;8042;10340;5951;9669;;;1996;2463;;3750;725;3369;;3090;827;1661;;;;711;;;;826;2280;611;1418;464;2737;1685;801;1002;;;;;;;;238;;416;161;291;;;;208;;507;185;443;;;61;43;;;;;;;;;;;;;;;;;;;174;;;;7396;;;;;;;;;;;0;;1069
243;Nürnberg-Nord;909;187179;188283;187179;188283;151372;145212;151372;145212;878;1006;618;726;150494;144206;150754;144486;26738;31616;23567;30232;;;;;32432;32541;29684;34055;4976;10882;6530;14692;18093;8485;18303;8887;45424;41027;41088;34349;14697;7726;19233;8627;2963;4286;1762;3621;;;1291;1662;;2777;414;2310;1598;;748;1462;;;;887;;1849;;784;2243;856;1584;656;984;1813;488;830;;;;;;;;165;;;158;217;;;;118;;;56;125;346;149;83;56;;;;;;;;;;;;;;;;;;;137;;;;5628;;;;;;;;;;;199;;751
244;Nürnberg-Süd;909;174758;177316;174758;177316;136860;129560;136860;129560;1006;1137;716;847;135854;128423;136144;128713;24213;31098;20814;29195;;;;;14730;15566;15262;17687;3556;8777;4871;11495;27128;13123;26901;12901;48913;44192;43913;38663;10821;5184;11683;4893;3662;5897;2386;4433;;;1506;1846;;2491;422;2279;;;578;1018;;;;1066;;;;741;1865;533;910;353;966;1562;427;710;;;;;;;;189;;;104;139;;;;127;;;86;185;;;68;35;;;;;;;;;;;;;;;;;;;140;;;;6073;;;;;;;;;;;0;;758
245;Roth;909;227696;229279;227696;229279;197152;189675;197152;189675;947;1392;585;945;196205;188283;196567;188730;25561;31806;26325;38786;;;;;24181;25140;23881;26197;5525;12596;7483;16974;33199;14944;35444;16043;84151;71478;74215;60980;9951;5076;10628;4950;8872;16528;7155;12601;;;1819;2401;;4720;656;3696;;2149;754;1322;;;;541;;1696;;1056;1884;;1082;376;1397;1534;658;866;;;;;;;;264;;;110;131;;;;191;;;187;376;;;28;19;;;;;;;;;;;;;;;;;654;;264;;;;5878;;;;;;;;;;830;616;;960
246;Aschaffenburg;909;181144;182652;181144;182652;155293;146772;155293;146772;956;1234;710;1052;154337;145538;154583;145720;19006;24893;19696;30232;;;;;18230;19588;17249;20642;5169;11683;6833;16199;28438;13954;29412;13716;67597;59269;58810;45739;7334;3536;9276;4068;4314;5087;3456;5718;;;1509;1917;;2412;404;2112;;2022;641;1138;;;;608;;;;551;1650;;1181;370;1078;1580;492;805;;;;;;;;210;;;111;139;;;;74;571;516;235;413;;157;70;61;;;;;;;;;;;;;;;;;423;;200;;;;5008;;;;;;;;;;527;841;;1008
247;Bad Kissingen;909;210364;214061;210364;214061;180527;174164;180527;174164;7608;1624;697;1059;172919;172540;179830;173105;25127;32844;17374;30540;;;;;10615;16467;13320;15874;8444;12206;6462;15211;;17130;41432;18434;87357;67458;75101;65063;9957;4475;8259;4820;22323;14102;8048;12639;;;1227;1862;;3783;697;3355;;2438;670;1416;;;;206;;;;558;;;719;236;2216;1266;618;777;;;;;;;;263;;;104;113;;;;143;;;225;476;;;33;20;;;;;;;;;;;;;;;;;6880;;259;;;;5282;;;;;;;;;;;371;;1099
248;Main-Spessart;909;192185;194408;192185;194408;165463;158133;165463;158133;924;1348;577;1066;164539;156785;164886;157067;25806;33700;20553;32771;;;;;13740;15813;14691;17806;3802;9514;5867;14151;29752;12576;31844;13918;74896;60489;67784;54097;6784;4070;8072;3685;8328;15774;6239;10496;;;1424;2042;;3195;589;2895;;;601;1157;;;;528;;;;487;;;971;322;1431;1414;551;772;;;;;;;;240;;;92;98;;;;129;;;161;379;;;29;31;;;;;;;;;;;;;;;;;;;220;;;;5198;;;;;;;;;;;240;;1063
249;Schweinfurt;909;194125;196710;194125;196710;163446;157357;163446;157357;949;1554;601;1005;162497;155803;162845;156352;21834;29037;18706;30482;;;;;12894;14747;14828;17085;3992;12408;5823;15039;33832;15468;34404;15687;70455;63697;64166;54441;7606;6552;8468;4928;7823;7761;6342;9119;;;1374;1817;;2758;681;2470;;;617;1137;;;;510;;;;574;1559;;955;309;1383;1229;561;657;;;;;;;;191;;;111;123;;;;115;921;863;333;523;198;167;56;52;;;;;;;;;;;;;;;;;;;123;;;;5297;;;;;;;;;;;1116;;1093
250;Würzburg;909;222633;224907;222633;224907;192406;185659;192406;185659;990;2155;537;957;191416;183504;191869;184702;26349;33125;25841;37079;;;;;36587;36295;31495;35634;8012;19414;8366;19230;24817;;25951;12220;74917;67651;68679;55957;9766;7522;15737;7027;5704;9440;4435;6871;;;1500;2091;2083;4898;753;2310;;;715;1431;;;;433;;;;665;3181;;1932;676;;2501;618;1098;;;;;;;;233;;774;176;307;;;;125;;;155;279;;;29;27;;;;;;;;;;;;;;;;;;;158;;;;5329;;;;;;;;;;;1884;;1009
251;Augsburg-Stadt;909;186448;187164;186448;187164;148097;137597;148097;137597;798;912;542;776;147299;136685;147555;136821;20701;24843;19791;26332;;;;;30320;29348;24310;27142;4139;11579;6076;15265;25488;11739;25826;12120;45742;37239;41916;33772;10966;6716;15568;6532;5463;5420;3359;5329;;;1189;1441;1434;3033;676;2795;;2228;931;1574;;;;712;;;;516;1725;659;1021;562;1078;1515;558;856;;;;;;;;158;;;138;162;;;;102;;569;153;408;243;159;94;92;;;;;;;;;;;;;;;;;;;119;;;;5830;;;;;;;;;;;1638;;951
252;Augsburg-Land;909;232095;231978;232095;231978;199564;189816;199564;189816;948;1492;606;996;198616;188324;198958;188820;25217;28108;21263;31693;;;;;18278;23359;21839;24561;5509;14379;7946;20767;37563;18069;38629;18010;88388;75875;79060;62299;7842;3531;9555;4042;10256;17269;9327;14931;;;1446;2043;1969;4306;1001;3849;;167;792;1235;;;;562;;;;559;1477;38;777;386;2117;2850;866;1281;;;;;;;;220;;;120;144;;;;177;;76;300;856;;7;43;48;;;;;;;;;;;;;;;;;;;140;;;;5854;;;;;;;;;;;290;;1157
253;Donau-Ries;909;192393;192451;192393;192451;163283;154277;163283;154277;639;1077;524;805;162644;153200;162759;153472;19720;29501;15226;25344;;;;;9398;10833;11853;14619;3895;9724;6071;15325;34916;15499;36829;16872;73296;62953;67118;54006;5536;2990;6249;2804;9972;14443;10291;14651;;;1210;1463;1411;3802;911;3356;;;504;876;;;;262;;;;612;;;520;201;965;1399;576;859;;;;;;;;183;;;82;78;;;;118;;;222;632;;;20;14;;;;;;;;;;;;;;;;;;;109;;3535;;4968;;;;;;;;;;;2056;;1197
254;Neu-Ulm;909;215191;214619;215191;214619;178435;166513;178435;166513;1043;1321;644;1009;177392;165192;177791;165504;18762;27471;19105;29232;;;;;14869;18859;15921;18880;5121;12809;7349;19447;41999;19598;41290;19350;75359;61066;65850;51592;8006;3169;9318;4041;6162;11288;6688;11112;3014;3629;1914;2466;1422;3014;737;2778;;;695;1117;;;;880;;1567;;857;1755;859;1041;501;;1455;582;965;;;;;;;;230;263;;149;152;;;;198;;;280;592;;;38;20;;;;;;;;;;;;;;;;;660;;280;;;;6554;;;;;;;;;;;408;;1094
255;Memmingen – Unterallgäu;909;159653;158711;159653;158711;134558;126025;134558;126025;957;1007;414;637;133601;125018;134144;125388;12674;15977;12138;18633;;;;;10821;13902;11191;13216;3938;9896;5529;14106;30371;14771;31392;14492;58479;46914;52442;40140;6212;2749;5955;2787;11106;12430;7307;12124;;351;1006;1386;;4240;722;3419;;919;550;796;;;;344;;140;;422;;41;537;218;;2306;840;1457;;;;;;;;150;;;90;113;;;;234;;;235;538;;;23;11;;;;;;;;;;;;;;;;;;;126;;;;4061;;;;;;;;;;;382;;802
256;Oberallgäu;909;228068;228803;228068;228803;191695;181755;191695;181755;987;1617;714;1014;190708;180138;190981;180741;16065;28401;20116;29910;;;;;23668;27817;23601;27393;8113;23604;8217;20953;31804;14473;33443;14350;70226;53566;72526;55017;7461;4911;10015;5043;16475;16181;9774;14970;2978;;1824;1959;;5508;1225;5209;;2269;891;1371;;;;476;;;;515;2205;;1410;357;1560;2233;989;1253;;;;;;;;184;;;110;136;;;;186;;;280;519;;;45;15;;;;;;;;;;;;;;;;;;;191;;;;6324;;;;;;;;;;10153;1175;;925
257;Ostallgäu;909;161048;160260;161048;160260;136838;128337;136838;128337;913;975;421;643;135925;127362;136417;127694;13508;15108;12693;19969;;;;;14096;15677;13662;16147;3529;9240;5197;13533;26633;11676;27513;11732;61899;51276;54705;41319;6102;4767;6463;3194;10158;11537;7524;11624;;;1011;1365;;4677;754;3706;;1421;659;984;;;;444;;;;533;;;780;219;;1528;630;933;;;;;;;;130;;;95;95;;;;185;;;276;791;;;19;17;;;;;;;;;;;;;;;;;;;145;;;;4291;;;;;;;;;;;455;;774
909;Bayern;999;9481659;9517664;9481659;9517664;7996557;7608980;7996557;7608980;47357;55864;24503;37667;7949200;7553116;7972054;7571313;1016841;1316303;920675;1361242;;;;;969735;1023735;957435;1067830;246700;579804;333257;798591;1384631;634098;1515731;679915;3272064;2788048;2964028;2402827;366149;187530;456935;210838;461198;587357;345840;566880;28481;20429;61869;80911;20515;156556;28843;131988;9955;60435;30552;53876;;3096;;24629;;9150;;25865;66017;14028;50671;21434;49197;96378;33367;51124;;;;;;;;8524;613;1434;5466;6689;;466;;5574;5763;36748;12278;32790;890;1258;1652;1251;;;;;;;;;;;;;;416;;;13923;;6937;;19929;;246518;;;;;;;;;;16599;35847;;38535
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
258;Stuttgart I;908;188918;191811;188918;191811;162105;157514;162105;157514;910;832;412;676;161195;156682;161693;156838;25231;20012;24129;31003;45662;36605;42314;31536;45667;62594;40878;44559;9327;16504;11759;26036;13843;6295;14421;6591;;;;;14203;6447;17530;8127;1981;1281;878;1088;;1528;828;1271;;1985;307;1821;1572;1684;687;1315;;;;706;;;;594;3426;877;2058;910;;;260;344;;;;;;;;69;;256;;207;;;133;169;;;;;283;125;94;88;;;;;;;;;;;;;;34;;;;;111;;;;5306;;;;;;;;;;;455;;404
259;Stuttgart II;908;174909;178958;174909;178958;139575;133588;139575;133588;1072;1124;626;892;138503;132464;138949;132696;22057;27224;22569;30198;42061;34312;37213;28403;29438;31446;24215;28221;5789;14678;8087;20273;20166;9603;19979;9541;;;;;12414;6294;15095;6739;1790;1833;975;1206;;1763;987;1368;;1778;351;1589;1657;1674;692;1216;;;;1446;;;;571;2200;732;1423;589;;;218;293;;;;;;;;97;;220;;163;;;138;153;;;;;344;189;145;142;;;;;;;;;;;;;;28;;;;;117;;;;6745;;;;;;;;;;587;690;;488
260;Böblingen;908;243100;245553;243100;245553;204946;195335;204946;195335;1364;1541;926;1221;203582;193794;204020;194114;34198;40844;29383;39955;76033;57504;67755;50675;27409;30211;28451;32594;12438;32184;14311;35082;34826;16175;35769;16810;;;;;9936;4548;12167;5141;6046;4790;2981;3306;;;1372;1767;;2856;456;2593;;1815;778;1447;;;;1267;;;;691;1826;665;1323;654;;783;328;442;;;;;;;;183;;;;197;;;421;471;;;;;280;170;109;97;;;;;;;;;;;;;;;;;;;223;;;;8193;;;;;;;;;;590;1249;;742
261;Esslingen;908;165367;166628;165367;166628;139386;131888;139386;131888;778;868;584;767;138608;131020;138802;131121;22446;28501;21535;29852;51329;41976;45133;33175;21500;24058;20809;23902;6021;16011;7967;20901;21754;9123;22298;9733;;;;;9177;3477;9942;4063;3479;2844;1877;1969;;;1124;1457;1104;2256;493;1928;;1758;571;1113;;;;943;;;;395;1798;504;1098;366;;;223;329;;;;;;;;161;;306;;186;;;153;185;;;;;;206;83;95;;;;;;;;;;;;;;;;;;;137;;;;5359;;;;;;;;;;;0;;368
262;Nürtingen;908;203455;205967;203455;205967;173192;165777;173192;165777;1057;1302;761;1207;172135;164475;172431;164570;28298;34617;24364;33995;64951;49506;58091;42826;24795;29619;23393;27702;9105;22765;11503;28807;30579;13597;31028;14327;;;;;9264;3970;9952;4357;5143;3948;2660;2704;;;1466;1898;;3417;697;2773;;2428;769;1442;;;;890;;;;576;;;1180;325;;;314;384;;;;;;;;182;;;;139;;;339;467;;;;;;95;58;55;;;;;;;;;;;;;;;;;;;171;;;;6446;;;;;;;;;;;513;;721
263;Göppingen;908;174712;177107;174712;177107;143877;135606;143877;135606;1193;1599;832;1183;142684;134007;143045;134423;24232;31824;20544;31422;52947;41558;47872;35079;13239;15932;13447;16916;5839;16481;7925;21723;32264;15818;33280;15412;;;;;6812;2958;7796;3338;4449;4394;2137;2525;;;1229;1660;1653;2839;729;2340;;2033;604;1176;;;;685;;;;504;1072;;676;336;;;256;293;;;;;;;;161;;;;85;;;169;158;;;;;177;170;68;59;;;;;;;;;;;;;;;;;;;153;;;;6160;;;;;;;;;;;0;;551
264;Waiblingen;908;219692;221775;219692;221775;184918;175841;184918;175841;1177;1434;819;1092;183741;174407;184099;174749;31595;39642;26985;37753;69225;50566;61352;44987;22702;26224;23496;27098;10519;27123;12485;30999;33168;15196;34225;15474;;;;;9726;4464;10731;5001;4714;3280;2350;2452;;;1686;1958;2092;4257;890;3477;;2381;709;1495;;;;768;;;;902;;658;1161;454;;;329;473;;;;;;;;178;;;;166;;;372;402;;;;;;156;80;77;;;;;;;;;;;;;;;;;;;215;;;;7033;;;;;;;;;;;460;;635
265;Ludwigsburg;908;212465;215312;212465;215312;179881;171843;179881;171843;1075;1300;715;1001;178806;170543;179166;170842;27111;31409;27032;37284;65326;50297;57436;42297;28680;34663;26654;31433;9149;23891;11468;27611;30176;14392;30246;14313;;;;;11154;4886;12303;5275;3175;3803;2125;2765;;;1314;1743;1467;2960;648;2514;;2114;711;1462;;;;1120;;;;615;1762;684;1317;526;806;929;360;554;;;;;;;;136;;;;183;;;228;293;;;;;;;61;82;;;;;;;;;;;;;;;;;;;167;;;;7096;;;;;;;;;;;515;;636
266;Neckar-Zaber;908;228598;230738;228598;230738;195890;186673;195890;186673;1266;1622;873;1237;194624;185051;195017;185436;29184;41708;28171;41369;76390;56249;64632;46315;22572;29015;23637;29048;7695;22792;12296;30783;37967;18478;39634;18702;;;;;9925;4357;10386;4851;5081;4218;2854;3248;;;1636;2054;2043;3655;1003;3078;;2601;806;1719;;;;809;;;;619;2775;;1471;561;992;1058;459;592;;;;;;;;223;;;;174;;;329;384;;;;;;;61;30;;;;;;;;;;;;;;;;;;;193;;;;7449;;;;;;;;;;;920;;877
267;Heilbronn;908;238592;240951;238592;240951;194676;182804;194676;182804;1675;1863;1219;1749;193001;180941;193457;181055;29914;43887;27713;40961;67516;50299;56937;43325;16637;23018;18307;23476;9852;24748;12028;29386;48360;23093;49241;23828;;;;;11484;4237;11921;5137;4328;4595;2649;3278;;;1978;2076;1915;3354;1003;2857;;2988;927;2041;;;;1145;;;;606;1997;;1241;529;;;369;527;;;;;;;;250;;497;;272;;;359;437;;;;;314;225;86;106;;;;;;;;;;;;;;;;;684;;257;;;;8441;;;;;;;;;;;0;;818
268;Schwäbisch Hall – Hohenlohe;908;224446;225874;224446;225874;186108;172687;186108;172687;1414;1561;1091;1457;184694;171126;185017;171230;27499;33568;24445;37272;67218;54894;58817;41947;18528;25825;18083;22734;8307;19941;10582;27850;44363;20579;46424;21787;;;;;8902;4090;9845;4980;4614;3460;2862;2941;;;1525;1977;2067;4923;1116;4005;1719;2425;896;1672;;;;419;;;;608;1477;;1105;453;;1239;460;716;;;;;;;;242;;;;144;;;529;650;;;;;;182;70;67;;;;;;;;;;;;;;;;;;;266;;;;7992;;;;;;;;;;;0;;766
269;Backnang – Schwäbisch Gmünd;908;175503;177062;175503;177062;146415;136436;146415;136436;1266;1435;724;1012;145149;135001;145691;135424;23870;32904;20169;29341;53064;41176;47449;34991;15499;15587;15531;18579;5844;16198;7846;21397;33940;15802;33901;15979;;;;;7486;3929;8424;3927;3174;3286;1733;2026;;;1251;1646;;3673;568;3114;2041;2308;812;1485;;;;477;;;;576;;;795;271;;;287;338;;;;;;;;178;;;;124;;;348;370;;;;;231;138;60;70;;;;;;;;;;;;;;;;;;;198;;;;6319;;;;;;;;;;;0;;535
270;Aalen – Heidenheim;908;217574;220686;217574;220686;180563;168655;180563;168655;1735;1722;999;1410;178828;166933;179564;167245;25137;36501;25289;39468;74010;61832;62272;45852;14872;20364;16827;21226;6425;15708;8746;24562;41337;16988;41367;17937;;;;;8987;3905;9696;4538;4984;4477;2930;3610;;;1362;1770;;4114;581;3375;;2313;699;1469;;;;644;;;;556;1878;542;920;417;;;334;439;;;;;;;;210;;;;141;;;219;274;;;;;;189;68;87;;;;;;;;;;;;;;;;;1198;;331;;;;7923;;;;;;;;;;;0;;670
271;Karlsruhe-Stadt;908;202812;205608;202812;205608;168556;159591;168556;159591;1126;1350;711;1123;167430;158241;167845;158468;25553;33630;26164;33828;39597;30921;37645;27998;51306;47473;40424;44011;6399;15793;8658;20615;22986;10811;22678;10774;;;;;13353;7956;18800;8910;2015;1723;993;1438;;;1393;1608;;3152;352;2863;1945;2811;1020;1851;;;;785;;;;622;4021;1547;2745;1313;;605;223;385;;;;;;;;138;;749;;463;;452;269;322;;;;;255;162;95;89;;;;;;;;;;;;;;;;;;;139;;;;6247;;;;;;;;;;;456;;455
272;Karlsruhe-Land;908;207276;209147;207276;209147;176259;167946;176259;167946;1482;1687;854;1313;174777;166259;175405;166633;26153;37948;26361;38474;68439;50581;58133;42831;22739;27755;23377;26969;7330;19066;9723;24660;32293;14963;33394;15869;;;;;8839;4040;9790;4483;4589;4358;2329;3001;;;1774;2287;;3505;458;2991;2084;2437;889;1478;;;;569;;;;525;2311;;1524;532;;562;255;330;;;;;;;;197;;496;;245;;;409;548;;;;;;;50;26;;;;;;;;;;;;;;;;;;;178;;;;6761;;;;;;;;;;;548;;618
273;Rastatt;908;200964;204890;200964;204890;163973;155331;163973;155331;1516;1736;1037;1531;162457;153595;162936;153800;24569;34847;23553;36442;63116;50988;54348;41495;18274;19962;17673;21926;5727;17764;8032;21250;36075;16455;36771;16333;;;;;7608;4212;8737;4280;5411;4477;2610;3000;;;1614;2026;1677;3557;713;3272;;;661;1099;;;;453;;;;546;;772;1021;492;;;205;199;;;;;;;;187;;;;132;;;143;101;;;;;;;35;25;;;;;;;;;;;;;;;;;;;139;;;;6681;;;;;;;;;;;561;;542
274;Heidelberg;908;218284;218431;218284;218431;186493;177868;186493;177868;1109;1231;752;1064;185384;176637;185741;176804;29464;35602;31556;40275;54060;42582;48787;36783;51423;53288;40599;45314;6767;15906;10535;23240;22182;10823;22414;10821;;;;;13225;6987;18830;8624;2566;2839;1377;2011;;;1323;1761;;2976;318;2466;2271;2151;913;1470;;;;624;;;;486;3251;1680;2100;1256;;;221;367;;;;;;;;186;;592;;379;;;171;184;;;;;175;141;52;65;;;;;;;;;;;;;;;;;;;157;;;;6388;;;;;;;;;;;1070;;492
275;Mannheim;908;195336;196863;195336;196863;153146;142132;153146;142132;1225;1350;869;1165;151921;140782;152277;140967;34137;37102;27687;35651;37566;27986;35227;25682;27493;31723;24376;29814;6391;14879;7839;18515;27170;13773;26735;12846;;;;;12117;6811;17211;7066;2626;3205;1128;1871;2759;;1762;2178;;2276;310;1845;1441;1933;820;1471;;;;1212;;;;529;;;1491;844;;500;168;241;;;;;;;;216;;;;200;;;169;146;;;;;221;184;82;81;;;;;;;;;;;;;;;;;;;122;;;;7150;;;;;;;;;;;410;;559
276;Odenwald – Tauber;908;206482;209418;206482;209418;171415;162058;171415;162058;1515;1806;1072;1564;169900;160252;170343;160494;24015;33083;22572;35578;72800;57391;61954;48866;13334;17695;14284;17748;5336;15549;8158;20943;39075;19374;40150;19208;;;;;7689;3722;8333;4084;5759;7329;3243;4701;;;1476;1911;1892;3473;698;2724;;2636;700;1563;;;;345;;;;510;;;778;388;;;437;590;;;;;;;;260;;;;127;;;235;270;;;;;;;31;23;;;;;;;;;;;;;;;;;;;196;;;;7098;;;;;;;;;;;0;;655
